Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;15 Navarra, Comunidad Foral de;2015;10,8
Total Nacional;15 Navarra, Comunidad Foral de;2014;11,8
Total Nacional;15 Navarra, Comunidad Foral de;2013;12,9
Total Nacional;15 Navarra, Comunidad Foral de;2012;13,0
Total Nacional;15 Navarra, Comunidad Foral de;2011;12,0
Total Nacional;15 Navarra, Comunidad Foral de;2010;16,8
Total Nacional;15 Navarra, Comunidad Foral de;2009;18,7
Total Nacional;15 Navarra, Comunidad Foral de;2008;18,8
Total Nacional;15 Navarra, Comunidad Foral de;2007;16,3
Total Nacional;15 Navarra, Comunidad Foral de;2006;13,0
Total Nacional;15 Navarra, Comunidad Foral de;2005;17,9
Total Nacional;15 Navarra, Comunidad Foral de;2004;21,0
Total Nacional;16 País Vasco;2023;6,7
Total Nacional;16 País Vasco;2022;6,1
Total Nacional;16 País Vasco;2021;5,3
Total Nacional;16 País Vasco;2020;6,5
Total Nacional;16 País Vasco;2019;6,7
Total Nacional;16 País Vasco;2018;6,9
Total Nacional;16 País Vasco;2017;7,0
Total Nacional;16 País Vasco;2016;7,9
Total Nacional;16 País Vasco;2015;9,7
Total Nacional;16 País Vasco;2014;9,4
Total Nacional;16 País Vasco;2013;9,9
Total Nacional;16 País Vasco;2012;12,4
Total Nacional;16 País Vasco;2011;13,8
Total Nacional;16 País Vasco;2010;13,1
Total Nacional;16 País Vasco;2009;16,6
Total Nacional;16 País Vasco;2008;14,8
Total Nacional;16 País Vasco;2007;14,3
Total Nacional;16 País Vasco;2006;14,6
Total Nacional;16 País Vasco;2005;14,7
Total Nacional;16 País Vasco;2004;13,8
Total Nacional;17 Rioja, La;2023;9,7
Total Nacional;17 Rioja, La;2022;11,8
Total Nacional;17 Rioja, La;2021;13,1
Total Nacional;17 Rioja, La;2020;14,6
Total Nacional;17 Rioja, La;2019;13,9
Total Nacional;17 Rioja, La;2018;17,1
Total Nacional;17 Rioja, La;2017;12,9
Total Nacional;17 Rioja, La;2016;17,8
Total Nacional;17 Rioja, La;2015;21,5
Total Nacional;17 Rioja, La;2014;21,1
Total Nacional;17 Rioja, La;2013;21,7
Total Nacional;17 Rioja, La;2012;24,3
Total Nacional;17 Rioja, La;2011;30,6
Total Nacional;17 Rioja, La;2010;27,2
Total Nacional;17 Rioja, La;2009;31,9
Total Nacional;17 Rioja, La;2008;37,0
Total Nacional;17 Rioja, La;2007;30,6
Total Nacional;17 Rioja, La;2006;26,6
Total Nacional;17 Rioja, La;2005;29,7
Total Nacional;17 Rioja, La;2004;36,3
Total Nacional;18 Ceuta;2023;21,2
Total Nacional;18 Ceuta;2022;19,5
Total Nacional;18 Ceuta;2021;14,6
Total Nacional;18 Ceuta;2020;25,5
Total Nacional;18 Ceuta;2019;24,7
Total Nacional;18 Ceuta;2018;23,4
Total Nacional;18 Ceuta;2017;20,1
Total Nacional;18 Ceuta;2016;21,5
Total Nacional;18 Ceuta;2015;29,8
Total Nacional;18 Ceuta;2014;29,5
Total Nacional;18 Ceuta;2013;33,5
Total Nacional;18 Ceuta;2012;38,5
Total Nacional;18 Ceuta;2011;38,9
Total Nacional;18 Ceuta;2010;45,8
Total Nacional;18 Ceuta;2009;34,1
Total Nacional;18 Ceuta;2008;42,7
Total Nacional;18 Ceuta;2007;49,1
Total Nacional;18 Ceuta;2006;54,9
Total Nacional;18 Ceuta;2005;55,2
Total Nacional;18 Ceuta;2004;41,9
Total Nacional;19 Melilla;2023;20,4
Total Nacional;19 Melilla;2022;15,0
Total Nacional;19 Melilla;2021;8,2
Total Nacional;19 Melilla;2020;22,8
Total Nacional;19 Melilla;2019;24,1
Total Nacional;19 Melilla;2018;29,5
Total Nacional;19 Melilla;2017;27,5
Total Nacional;19 Melilla;2016;24,4
Total Nacional;19 Melilla;2015;24,1
Total Nacional;19 Melilla;2014;19,6
Total Nacional;19 Melilla;2013;33,1
Total Nacional;19 Melilla;2012;32,6
Total Nacional;19 Melilla;2011;19,3
Total Nacional;19 Melilla;2010;35,4
Total Nacional;19 Melilla;2009;36,7
Total Nacional;19 Melilla;2008;35,5
Total Nacional;19 Melilla;2007;46,8
Total Nacional;19 Melilla;2006;40,3
Total Nacional;19 Melilla;2005;33,5
Total Nacional;19 Melilla;2004;40,8
